NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Acétate d'aluminium basique|Aluminum subacetate|2014-11-14|142-03-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate d'ammonium|Ammonium acetate|2016-07-04|631-61-8||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétate d'amyle normal|Normal amyl acetate|2015-08-18|628-63-7|UN1104|DP.6.2, DS.8i.3|Réglementation|||
Acétate d'amyle secondaire|Secondary amyl acetate|2015-08-20|626-38-0|UN1104|DP.6.3, DS.8i.3|Réglementation|||
Acétate d'argent|Silver acetate|2015-10-15|563-63-3||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétate de baryum|Barium acetate|2015-10-15|543-80-6||DS.1o.4|Réglementation|||
Acétate de baryum monohydraté|Barium acetate monohydrate|2015-10-15|||DS.1o.4|Réglementation|||
Acétate de butyle normal|Normal butyl acetate|2019-10-01|123-86-4|UN1123|DP.6.2|Réglementation|||
Acétate de butyle secondaire|Secondary butyl acetate|2015-08-18|105-46-4|UN1123|DP.6.2|Réglementation|||
Acétate de butyle tertiaire|Tertiairy butyl acetate|2015-09-15|540-88-5|UN1123|DP.6.2|Réglementation|||
Acétate de cadmium|Cadmium acetate|2015-12-08|543-90-8|UN2570|DS.1o.4, DS.5.2, DS.6.1A, DS.7.2, DS.9.1|Réglementation||La toxicité des composés de cadmium est liée à la présence de l'ion Cd2+. Ainsi, la classification est basée sur la toxicité de cet ion et tient compte des données disponibles pour tous les composés de cadmium.|
Acétate de calcium|Calcium acetate|2014-11-14|62-54-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate de calcium monohydraté|Calcium acetate monohydrate|2014-11-14|5743-26-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate de cellulose|Cellulose acetate|2016-07-04|9004-35-7||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétate de césium|Cesium acetate|2014-11-14|3396-11-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate de l'éther monobutylique d'éthylène glycol|Ethylene glycol butyl ether acetate|2016-02-16|112-07-2||DP.6.4, DS.1c.4|Réglementation|||
Acétate de l'éther monométhylique du propylène glycol|Propylene glycol monomethyl ether acetate|2016-01-29|108-65-6||DP.6.3|Réglementation|||
Acétate de lithium|Lithium acetate|2019-12-09|546-89-4||DS.7.1A, DS.9.1|Non requise||En raison du manque de données, les classifications concernant la toxicité pour la reproduction (H360) et la toxicité pour certains organes cibles - expositions répétées (H372) ont été établies par analogie au carbonate de lithium.|
Acétate de lithium dihydraté|Lithium acetate dihydrate|2019-12-09|6108-17-4||DS.7.1A, DS.9.1|Non requise||En raison du manque de données, les classifications concernant la toxicité pour la reproduction (H360) et la toxicité pour certains organes cibles - expositions répétées (H372) ont été établies par analogie au carbonate de lithium.|
Acétate de magnésium|Magnesium acetate|2014-11-14|142-72-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate de magnésium tétrahydraté|Magnesium acetate tetrahydrate|2014-11-14|16674-78-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate de méthyle|Methyl acetate|2015-08-19|79-20-9|UN1231|DP.6.2, DS.3.2|Réglementation|||
Acétate de méthylglycol|Methylglycol acetate|2015-09-15|110-49-6|UN1189|DP.6.3, DS.1i.4, DS.7.1B, DS.9.1|Réglementation|||
Acétate de nickel|Nickel acetate|2015-08-11|373-02-4||DS.1o.4, DS.4c.1, DS.4r.1, DS.6.1A, DS.7.1B, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant la sensibilisation cutanée (H317), la sensibilisation respiratoire (H334), la toxicité pour la reproduction (H361) et la toxicité systémique pour certaines organes cibles-exposition unique (H372) ont étés établies par analogie au sulfate de nickel (composé soluble de nickel).|
Acétate de nickel tétrahydraté|Nickel acetate tetrahydrate|2015-08-11|6018-89-9||DS.1o.4, DS.4c.1, DS.4r.1, DS.6.1A, DS.7.1B, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant la sensibilisation cutanée (H317), la sensibilisation respiratoire (H334), la toxicité pour la reproduction (H361) et la toxicité systémique pour certaines organes cibles-exposition unique (H372) ont étés établies par analogie au sulfate de nickel (composé soluble de nickel).|
Acétate de phénéthyle|Phenethyl acetate|2014-11-14|103-45-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate de phényle|Phenyl acetate|2014-11-14|122-79-2||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétate de plomb anhydre|Lead acetate|2015-10-01|301-04-2|UN1616|DS.6.1B, DS.7.1A, DS.9.1|Réglementation||La toxicité des composés inorganiques du plomb est liée à la présence de l'ion Pb2+. Ainsi, la classification est basée sur la toxicité de cet ion et tient compte des données disponibles pour tous les composés inorganiques de plomb.|
Acétate de plomb trihydraté|Lead acetate trihydrate|2015-10-01|6080-56-4|UN1616|DS.6.1B, DS.7.1A, DS.9.1|Réglementation||La toxicité des composés inorganiques du plomb est liée à la présence de l'ion Pb2+. Ainsi, la classification est basée sur la toxicité de cet ion et tient compte des données disponibles pour tous les composés inorganiques de plomb.|
Acétate de potassium|Potassium acetate|2016-06-28|127-08-2||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétate de propyle normal|Normal propyl acetate|2015-08-18|109-60-4|UN1276|DP.6.2|Réglementation|||
Acétate de sodium|Sodium acetate|2016-07-11|127-09-3||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétate de sodium trihydraté|Sodium acetate trihydrate|2016-07-11|6131-90-4||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acétate de tolyle (méta-)|m-Tolyl acetate|2014-11-14|122-46-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétate de tolyle (para-)|p-Tolyl acetate|2014-11-14|140-39-6||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétate de vinyle|Vinyl acetate|2016-03-15|108-05-4|UN1301|DP.6.2, DS.1i.4, DS.3.2B, DS.6.2, DS.8i.3|Réglementation||Ce produit est généralement commercialisé avec un inhibiteur. Par conséquent, la classification des risques liés à la santé pourrait être différente, selon l'inhibiteur utilisé et sa concentration. La classification des risques physiques tient compte de son état inhibé. Cependant, sous certaines conditions (par exemple, déplétion ou absence de l’inhibiteur) une polymérisation dangereuse peut se produire.|
Acétate de zinc|Zinc acetate|2016-09-26|557-34-6||Produit non contrôlé|Non requise||Une valeur de DL50 par voie orale est disponible et permet de classer ce produit dans la catégorie 4. Cependant, le test a été fait avec un produit dont le pH a été ajusté avec du bicarbonate de sodium.|
Acétate de zinc dihydraté|Zinc acetate dihydrate|2016-09-26|5970-45-6||Produit non contrôlé|Non requise||Une valeur de DL50 par voie orale est disponible et permet de classer ce produit dans la catégorie 4. Cependant, le test a été fait avec un produit dont le pH a été ajusté avec du bicarbonate de sodium.|
Acétate d'éthyle|Ethyl acetate|2015-03-02|141-78-6|UN1173|DP.6.2|Réglementation|||
Acétate d'éthylglycol|Ethylglycol acetate|2015-10-06|111-15-9|UN1172|DP.6.3, DS.1i.4, DS.7.1B|Réglementation|||
Acétate d'eugényle|Eugenyl acetate|2015-09-15|93-28-7||DS.1o.4|Réglementation|||
Acétate d'heptyle|Heptyl acetate|2014-11-14|112-06-1||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétate d'hexyle secondaire|Secondary hexyl acetate|2015-08-25|108-84-9|UN1233|DP.6.3, DS.8i.3|Réglementation|||
Acétate d'isoamyle|Isoamyl acetate|2016-03-10|123-92-2|UN1104|DP.6.3|Réglementation|||
Acétate d'isobutyle|Isobutyl acetate|2015-08-21|110-19-0|UN1213|DP.6.2|Réglementation|||
Acétate d'isopropyle|Isopropyl acetate|2015-08-18|108-21-4|UN1220|DP.6.2, DS.8n.3|Réglementation|||
Acétate mercurique|Mercuric acetate|2016-01-29|1600-27-7|UN1629|DS.7.2, DS.9.1|Réglementation|||
Acétate monoéthylique du diéthylène glycol|Diethylene glycol monoethyl ether acetate|2016-08-31|112-15-2||Produit non contrôlé|Non requise|||
Acétate phénylmercurique|Phenylmercuric acetate|2015-12-11|62-38-4|UN1674|DS.1o.2, DS.2.2, DS.3.2, DS.4c.1B, DS.7.2, DS.9.1|Réglementation||En raison du manque de données, les classifications concernant l'irritation oculaire (H319) et la sensibilisation cutanée (H317) ont été établies par analogie aux composés de phénylmercures en générale.  En raison du manque de données, la classification concernant la toxicité pour la reproduction (H361) a été établie par analogie aux composés de mercure inorganiques solubles (Dichlorure de mercure II).  En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H372) a été établie par analogie à l'acétate phénylmercurique.|
Acétate thalleux|Thallous acetate|2015-12-15|563-68-8|UN1707|DS.1o.2, DS.9.3|Réglementation||En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H373) a été établie par analogie aux composés de Thallium solubles (Sulfate de Thallium).|
Acétoacétanilide|Acetoacetanilide|2014-11-14|102-01-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétoacétanisidide (ortho-)|o-Acetoacetaniside|2014-11-14|92-15-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acétoacétate d'allyle|Allyl acetoacetate|2014-11-14|1118-84-9||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétone|Acetone|2015-02-25|67-64-1|UN1090|DP.6.2, DS.3.2A|Réglementation|||
Acétonecyanhydrine|2-Hydroxy-2-methylpropanenitrile|2015-09-29|75-86-5|UN1541|DP.6.4, DS.1c.1, DS.1i.1, DS.1o.2|Réglementation|||
Acétonitrile|Acetonitrile|2015-08-05|75-05-8|UN1648|DP.6.2, DS.1c.4, DS.1i.3, DS.1o.3, DS.3.2A|Réglementation|||
Acétonylacétone|2,5-Hexanedione|2015-02-23|110-13-4||DP.6.4, DS.1c.99, DS.1i.99, DS.1o.99, DS.2.99, DS.3.2, DS.4c.99, DS.5.99, DS.7a.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Acétophénone|Phenyl methyl ketone|2015-09-16|98-86-2||DP.6.4|Réglementation|||
Acétopromazine|Acepromazine|2016-08-09|61-00-7||DS.1o.4, DP.6.99|Réglementation|||
Acétylène|Acetylene|2016-02-18|74-86-2|UN1001|DP.2.1, DP.5.4, DP.18.1|Réglementation|||
Acétylénure de lithium|Lithium acetylenide|2016-10-07|1111-64-4||DP.12.99|Réglementation||Il n'y a aucune donnée disponible pour l'acétylénure de lithium concernant son pouvoir d'irritation ou de corrosion. Cependant, il peut former, au contact de l'eau, une substance corrosive:du carbure de lithium.|
Acétylsalicylate d'aluminium|Aluminum acetylsalicylate|2014-11-14|23413-80-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide acétique|Acetic acid|2020-01-09|64-19-7|UN2789|DP.6.3, DS.1i.4cvr, DS.2.1, DS.3.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Acide acétique à plus de 80%|Acetic acid, more than 80%|2020-01-09||UN2789|DP.6.3, DS.1i.4cvr, DS.2.1, DS.3.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information. 2020-01-06 AMF : à mettre à jour en fonction de la nouvelle classification de l'acide acétique glacial (entente avec Santé Canada)|
Acide aconitique (cis-)|cis-Aconitic acid|2014-11-14|585-84-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide acrylique|Acrylic acid|2016-03-15|79-10-7|UN2218|DP.6.3, DS.1c.3, DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Ce produit est généralement commercialisé avec un inhibiteur. Par conséquent, la classification des risques liés à la santé pourrait être différente, selon l'inhibiteur utilisé et sa concentration. La classification des risques physiques tient compte de son état inhibé. Cependant, sous certaines conditions (par exemple, déplétion ou absence de l’inhibiteur) une polymérisation dangereuse peut se produire.|
Acide adipique|Adipic acid|2019-10-02|124-04-9||DP.17.99, DS.3.1|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acide agarique|Agaric acid|2014-11-14|666-99-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide allantoïque|Allantoic acid|2014-11-14|99-16-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide allylcyclopenténylbarbiturique|Allylcyclopentenylbarbital|2014-11-14|76-68-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide amino-2 benzènedisulfonique-1,4|2-Amino-1,4-benzenedisulfonic acid|2014-11-14|98-44-2||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide amino-2 butyrique (dl-)|2-Aminobutanoic acid|2014-11-14|2835-81-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide amino-3 benzoïque|3-Aminobenzoic acid|2016-08-17|99-05-8||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acide amino-4 azobenzène-3,4' disulfonique|4-Aminoazobenzene-3,4'-disulfonic acid|2016-07-22|101-50-8||Produit non contrôlé|Non requise|||
Acide amino-4 benzoïque|4-Aminobenzoic acid|2016-07-11|150-13-0||Produit non contrôlé|Non requise|||
Acide amino-4 salicylique|4-Aminosalicylic acid|2014-11-14|65-49-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide amino-5 salicylique|5-Aminosalicylic acid|2014-11-14|89-57-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide aminodiacétique|Aminodiacetic acid|2014-11-14|142-73-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide aminonaphtol sulfonique|Aminonaphthol sulfonic acid|2014-11-14|87-02-5||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide anisique (ortho-)|o-Anisic acid|2014-11-14|579-75-9||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide anthranilique|Anthranilic acid|2014-11-14|118-92-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Acide arachidique|Arachidic acid|2015-09-10|506-30-9||Produit non contrôlé|Non requise|||
Acide arsénique|Arsenic acid|2015-11-18|7778-39-4|UN1554|DS.1c.4, DS.1i.3, DS.1o.3, DS.2.1, DS.3.1, DS.6.1A, DS.9.1, DS.12co.1|Réglementation||En raison du manque de données, la classification concernant la toxicité pour certains organes cibles - exposition répétée (H372) a été établie par analogie aux composés inorganiques solubles de l'arsenic.|
Acide ascorbique|Ascorbic acid|2016-06-28|50-81-7||DP.17.99|Réglementation||Ce produit pourrait appartenir à la classe de danger "Poussières combustibles" en fonction de divers facteurs qui influencent la combustibilité et l'explosivité des poussières, notamment la composition, la forme et la taille des particules.|
Acide aspartique (d-)|d-Aspartic acid|2014-11-14|1783-96-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
